airport_ident,length__meters,width__meters,le_ident,le_heading_degT,le_displaced_threshold__meters,he_ident,he_heading_degT,he_displaced_threshold__meters,le_latitude_deg,le_longitude_deg,he_latitude_deg,he_longitude_deg
KGRF,1867,46,15,167,0,33,347,0,47.087398529052734,-122.58399963378906,47.07099914550781,-122.5780029296875
KGRI,2014,30,13,135,0,31,315,0,40.97840118408203,-98.31169891357422,40.96549987792969,-98.2948989868164
KGRI,2134,46,17,180,0,35,0,0,40.97719955444336,-98.3147964477539,40.95800018310547,-98.31490325927734
KGRK,3048,61,15,157,0,33,337,59,31.07990074157715,-97.83509826660156,31.05459976196289,-97.82279968261719
KGRR,3048,46,08R,81,0,26L,261,0,42.8765983581543,-85.54219818115234,42.88079833984375,-85.50530242919922
KGRR,2591,46,17,171,0,35,351,0,42.88949966430664,-85.51930236816406,42.86650085449219,-85.5145034790039
KGSB,3584,91,08,73,0,26,253,0,35.33470153808594,-77.97949981689453,35.34410095214844,-77.94170379638672
KGSO,2743,46,05L,46,0,23R,226,0,36.099300384521484,-79.95909881591797,36.11640167236328,-79.93710327148438
KGSO,1945,46,14,135,0,32,315,0,36.0994987487793,-79.95240020751953,36.087100982666016,-79.93720245361328
KGSP,3353,46,04,32,0,22,212,0,34.88290023803711,-82.22859954833984,34.90850067138672,-82.20909881591797
KGTB,3048,46,03,16,416,21,196,0,44.045501708984375,-75.72579956054688,44.071800231933594,-75.71530151367188
KGTF,3201,46,03,45,0,21,225,0,47.46929931640625,-111.38400268554688,47.48970031738281,-111.35399627685547
KGTF,1938,46,17,180,0,35,360,0,47.49359893798828,-111.37300109863281,47.476200103759766,-111.37300109863281
KGTR,2439,46,18,180,0,36,360,0,33.45930099487305,-88.59130096435547,33.44139862060547,-88.59149932861328
KGUC,2865,46,06,74,0,24,254,0,38.53239822387695,-106.94499969482422,38.53969955444336,-106.91400146484375
KGUP,2230,30,06,74,0,24,254,0,35.50830078125,-108.8010025024414,35.51380157470703,-108.7770004272461
KGUS,3810,61,05,44,0,23,224,0,40.635799407958984,-86.16790008544922,40.660301208496094,-86.13639831542969
KGUY,1798,30,18,186,0,36,6,0,36.69309997558594,-101.50700378417969,36.676998138427734,-101.50900268554688
KGVT,2448,46,17,181,0,35,1,0,33.07889938354492,-96.06520080566406,33.056800842285156,-96.06549835205078
KGWO,1982,46,18,181,0,36,1,0,33.49909973144531,-90.08799743652344,33.481300354003906,-90.0885009765625
KGXY,1768,30,10,105,0,28,285,0,40.43069839477539,-104.64600372314453,40.42649841308594,-104.6259994506836
KGXY,3048,30,17,178,0,35,358,335,40.456199645996094,-104.63200378417969,40.42879867553711,-104.63099670410156
KGYH,2438,46,05,40,0,23,220,0,34.749900817871094,-82.38500213623047,34.766700744628906,-82.3678970336914
KGYI,2743,46,17L,182,0,35R,2,0,33.72629928588867,-96.67259979248047,33.70159912109375,-96.67350006103516
KGYR,2591,46,03,38,0,21,218,640,33.41360092163086,-112.38500213623047,33.43190002441406,-112.36799621582031
KGYY,2135,46,12,124,217,30,304,0,41.621299743652344,-87.42169952392578,41.610599517822266,-87.40049743652344
KHBG,1859,46,13,131,305,31,311,0,31.27050018310547,-89.26029968261719,31.25950050354004,-89.24549865722656
KHDC,1982,30,13,136,0,31,316,207,30.527999877929688,-90.42559814453125,30.515199661254883,-90.41120147705078
KHDN,3048,46,10,114,155,28,294,0,40.486698150634766,-107.23400115966797,40.47570037841797,-107.20099639892578
KHDO,1836,46,17L,180,0,35R,360,0,29.36639976501465,-99.1719970703125,29.34980010986328,-99.1719970703125
KHEZ,1981,46,13,136,0,31,316,0,31.6205997467041,-91.30590057373047,31.60770034790039,-91.29149627685547
KHIB,2060,46,13,132,0,31,312,0,47.391700744628906,-92.8478012084961,47.37919998168945,-92.82759857177734
KHIF,4117,61,14,153,0,32,333,0,41.14039993286133,-111.98400115966797,41.10749816894531,-111.96199798583984
KHII,2439,30,14,150,0,32,330,0,34.58060073852539,-114.36499786376953,34.56159973144531,-114.35199737548828
KHIO,2012,46,13R,144,0,31L,324,0,45.549598693847656,-122.95999908447266,45.53499984741211,-122.94400024414062
KHKY,1951,46,06,55,0,24,235,0,35.73500061035156,-81.39730072021484,35.744998931884766,-81.37960052490234
KHLN,2743,46,09,103,0,27,283,0,46.6083984375,-111.99800109863281,46.60300064086914,-111.96299743652344
KHMN,3223,91,04,48,0,22,228,0,32.8468017578125,-106.13300323486328,32.86629867553711,-106.10700225830078
KHMN,3901,46,07,80,0,25,260,0,32.84619903564453,-106.125,32.852699279785156,-106.08300018310547
KHMN,3698,46,16,168,0,34,348,0,32.866600036621094,-106.10800170898438,32.83399963378906,-106.0989990234375
KHND,1982,30,17R,181,0,35L,1,0,35.98080062866211,-115.13500213623047,35.96310043334961,-115.13600158691406
KHOB,2255,46,03,45,0,21,225,0,32.6786994934082,-103.22599792480469,32.69300079345703,-103.20899963378906
